LGA,Climate,Crop,pH,N,P,K,Temp,Rainfall,Salinity
Jos South,Highland,Irish-potato,4.72,95.98,59.12,223.93,11.18,559.03,1.38
Jos South,Highland,Irish-potato,4.94,84.39,57.28,119.64,10.37,642.34,0.22
Jos South,Highland,Irish-potato,3.0,81.14,30.06,160.47,8.82,352.85,1.32
Jos South,Highland,Irish-potato,4.14,103.18,30.0,115.39,12.39,398.58,0.74
Jos South,Highland,Irish-potato,3.83,90.61,37.25,225.0,11.95,414.9,0.98
Jos South,Highland,Irish-potato,3.33,108.13,30.0,90.0,12.69,729.23,0.64
Jos South,Highland,Irish-potato,4.22,90.28,30.0,106.18,10.39,750.0,0.73
Jos South,Highland,Irish-potato,3.0,112.16,41.04,108.43,14.14,750.0,1.04
Jos South,Highland,Irish-potato,3.64,89.99,53.58,195.19,10.32,567.51,0.22
Jos South,Highland,Irish-potato,3.35,129.26,71.52,140.19,15.51,663.29,0.22
Jos South,Highland,Irish-potato,4.61,150.0,47.16,225.0,7.5,743.83,0.59
Jos South,Highland,Irish-potato,4.08,104.03,30.0,132.44,13.25,750.0,0.27
Jos South,Highland,Irish-potato,3.67,83.26,63.8,161.23,10.15,689.82,0.6
Jos South,Highland,Irish-potato,5.1,76.25,42.05,123.39,7.5,651.82,0.68
Jos South,Highland,Irish-potato,4.32,92.61,30.0,121.89,10.8,459.6,0.46
Jos South,Highland,Irish-potato,4.64,150.0,50.84,157.49,11.74,300.0,0.53
Jos South,Highland,Irish-potato,4.37,150.0,44.42,159.8,11.88,395.48,1.15
Jos South,Highland,Irish-potato,4.92,128.5,31.87,217.62,7.5,702.7,1.7
Jos South,Highland,Irish-potato,3.52,81.0,49.53,117.54,7.5,612.0,0.22
Jos South,Highland,Irish-potato,4.7,68.64,74.91,102.85,10.87,742.37,0.22
Jos South,Highland,Irish-potato,4.5,146.57,30.0,153.67,12.91,736.82,0.22
Jos South,Highland,Irish-potato,3.25,119.09,52.98,157.12,13.21,481.0,0.67
Jos South,Highland,Irish-potato,4.55,75.81,75.0,168.85,7.83,714.9,0.22
Jos South,Highland,Irish-potato,4.95,141.37,33.42,194.55,13.44,743.86,1.54
Jos South,Highland,Irish-potato,4.12,74.44,32.22,101.14,11.73,659.7,0.69
Jos South,Highland,Irish-potato,4.98,101.27,73.22,130.08,21.52,709.49,0.22
Jos South,Highland,Irish-potato,3.46,117.7,43.87,181.46,13.66,587.25,0.22
Jos South,Highland,Irish-potato,3.1,85.19,62.77,155.21,7.64,630.31,0.75
Jos South,Highland,Irish-potato,3.61,106.2,48.8,90.0,13.25,698.14,1.12
Jos South,Highland,Irish-potato,5.17,60.0,31.37,171.01,13.8,690.13,1.88
Jos South,Highland,Irish-potato,4.78,140.56,64.48,178.17,10.9,732.82,0.22
Jos South,Highland,Irish-potato,4.13,83.83,49.22,225.0,7.5,720.1,0.22
Jos South,Highland,Irish-potato,3.94,138.93,48.91,90.0,9.5,718.93,0.22
Jos South,Highland,Irish-potato,4.49,102.41,36.38,225.0,14.22,300.0,0.64
Jos South,Highland,Irish-potato,3.78,130.65,33.91,137.95,13.77,750.0,0.22
Jos South,Highland,Irish-potato,4.05,84.19,36.35,225.0,13.42,379.35,1.03
Jos South,Highland,Irish-potato,6.03,136.95,30.0,118.55,16.43,476.16,0.78
Jos South,Highland,Irish-potato,4.94,68.37,46.74,90.0,8.41,555.8,0.22
Jos South,Highland,Irish-potato,5.63,60.0,40.08,150.84,17.04,348.72,1.16
Jos South,Highland,Irish-potato,4.33,66.46,55.87,154.42,9.9,612.22,0.34
Jos South,Highland,Irish-potato,4.41,123.99,75.0,90.0,19.47,300.0,0.47
Jos South,Highland,Irish-potato,4.79,110.65,36.89,133.05,10.27,496.86,0.99
Jos South,Highland,Irish-potato,4.6,76.57,63.53,160.11,14.85,710.19,0.22
Jos South,Highland,Irish-potato,3.87,126.97,58.47,142.88,12.41,750.0,0.24
Jos South,Highland,Irish-potato,4.76,93.74,43.97,201.66,14.89,742.36,1.23
Jos South,Highland,Irish-potato,4.33,124.69,42.35,160.99,11.54,616.97,0.86
Jos South,Highland,Irish-potato,3.66,150.0,30.18,90.0,16.05,738.54,0.87
Jos South,Highland,Irish-potato,4.82,100.39,32.08,147.95,9.63,750.0,0.47
Jos South,Highland,Irish-potato,3.65,89.57,55.01,114.38,9.12,642.65,0.68
Jos South,Highland,Irish-potato,3.91,84.33,51.84,90.0,7.5,474.27,0.43
Jos South,Highland,Tomato,6.0,168.83,107.8,186.53,18.42,483.16,0.73
Jos South,Highland,Tomato,5.3,135.23,63.57,218.15,24.78,587.32,1.03
Jos South,Highland,Tomato,6.43,114.12,91.17,194.56,18.9,509.91,0.76
Jos South,Highland,Tomato,6.21,168.13,110.46,294.2,15.36,701.67,0.88
Jos South,Highland,Tomato,8.17,102.25,63.24,166.07,13.5,538.72,0.38
Jos South,Highland,Tomato,5.81,135.78,134.53,238.22,16.14,495.29,1.09
Jos South,Highland,Tomato,4.11,179.21,116.24,172.13,13.5,750.0,0.67
Jos South,Highland,Tomato,7.07,79.33,69.55,194.22,18.69,547.54,1.18
Jos South,Highland,Tomato,4.4,121.67,88.44,217.92,21.41,468.92,0.38
Jos South,Highland,Tomato,7.11,135.51,65.64,266.18,18.97,737.45,0.79
Jos South,Highland,Tomato,8.02,176.99,78.75,239.2,21.14,750.0,0.38
Jos South,Highland,Tomato,6.43,156.68,48.75,138.89,13.5,568.6,1.25
Jos South,Highland,Tomato,7.37,127.98,128.04,129.73,13.5,593.53,1.02
Jos South,Highland,Tomato,5.6,75.0,82.94,133.25,21.24,642.73,0.38
Jos South,Highland,Tomato,5.04,94.94,83.64,238.44,14.46,658.75,0.38
Jos South,Highland,Tomato,4.72,122.7,58.11,168.2,13.59,750.0,0.77
Jos South,Highland,Tomato,4.83,132.06,82.34,183.69,21.02,688.29,0.38
Jos South,Highland,Tomato,4.97,117.8,48.75,123.44,24.1,750.0,0.57
Jos South,Highland,Tomato,6.3,134.89,137.5,246.09,17.98,488.63,0.38
Jos South,Highland,Tomato,5.87,103.77,48.75,163.88,14.07,750.0,1.36
Jos South,Highland,Tomato,5.63,168.96,87.31,153.88,24.74,662.81,0.38
Jos South,Highland,Tomato,5.42,100.29,48.99,237.09,26.32,437.0,1.14
Jos South,Highland,Tomato,4.89,111.62,69.73,153.75,18.7,503.15,0.94
Jos South,Highland,Tomato,5.58,118.85,61.46,167.12,21.59,658.38,0.38
Jos South,Highland,Tomato,5.75,147.72,48.75,219.27,15.79,666.5,0.38
Jos South,Highland,Tomato,3.75,78.37,86.55,206.06,14.8,674.43,0.38
Jos South,Highland,Tomato,5.56,90.51,68.17,196.18,14.98,555.18,1.45
Jos South,Highland,Tomato,4.97,150.18,55.63,218.64,24.4,311.93,0.38
Jos South,Highland,Tomato,6.3,119.9,95.03,165.86,18.85,581.86,1.56
Jos South,Highland,Tomato,5.93,135.66,74.47,171.28,16.73,645.97,0.45
Jos South,Highland,Tomato,5.97,186.33,108.15,178.8,23.42,552.44,0.38
Jos South,Highland,Tomato,4.47,75.0,76.06,194.83,25.37,638.1,0.59
Jos South,Highland,Tomato,6.6,75.0,91.47,229.86,13.5,733.3,0.98
Jos South,Highland,Tomato,5.16,144.27,137.5,202.44,19.52,546.46,0.38
Jos South,Highland,Tomato,6.6,100.86,87.16,171.74,20.46,638.89,1.47
Jos South,Highland,Tomato,5.05,117.95,59.59,173.29,20.05,688.23,0.38
Jos South,Highland,Tomato,6.64,165.34,96.14,281.34,15.33,454.94,0.38
Jos South,Highland,Tomato,7.37,144.9,83.82,207.01,13.89,750.0,0.84
Jos South,Highland,Tomato,5.76,146.98,97.91,204.39,15.26,654.95,2.06
Jos South,Highland,Tomato,7.19,172.27,71.86,147.91,17.98,606.49,1.51
