LGA,Climate,Crop,N,P,K,pH,Temp,Rainfall,Salinity
Qua'an-Pan,Lowland,Irish-potato,142.57,37.17,154.55,5.08,18.32,487.64,1.43
Qua'an-Pan,Lowland,Irish-potato,137.86,67.66,167.83,4.09,18.51,536.65,0.47
Qua'an-Pan,Lowland,Irish-potato,117.46,57.53,220.1,6.65,22.86,300.0,1.5
Qua'an-Pan,Lowland,Irish-potato,79.7,58.99,175.38,5.85,18.02,359.51,0.75
Qua'an-Pan,Lowland,Irish-potato,119.94,30.62,189.7,5.98,18.91,300.0,1.14
Qua'an-Pan,Lowland,Irish-potato,67.11,70.84,185.64,4.97,18.7,300.0,1.51
Qua'an-Pan,Lowland,Irish-potato,83.99,63.21,192.98,4.25,19.6,380.37,1.58
Qua'an-Pan,Lowland,Irish-potato,114.99,70.51,168.44,5.16,17.81,300.0,1.88
Qua'an-Pan,Lowland,Irish-potato,145.45,49.75,182.0,5.14,20.48,300.0,0.97
Qua'an-Pan,Lowland,Irish-potato,150.0,65.39,117.7,5.2,15.97,300.0,1.07
Qua'an-Pan,Lowland,Irish-potato,92.09,30.0,90.0,3.9,25.0,456.43,1.77
Qua'an-Pan,Lowland,Irish-potato,65.06,51.25,181.74,4.03,17.28,346.23,1.41
Qua'an-Pan,Lowland,Irish-potato,150.0,63.64,184.07,4.84,20.38,300.0,1.53
Qua'an-Pan,Lowland,Irish-potato,116.76,62.74,187.2,4.16,21.64,572.39,1.24
Qua'an-Pan,Lowland,Irish-potato,84.47,58.16,187.71,5.38,19.21,401.2,0.75
Qua'an-Pan,Lowland,Irish-potato,86.82,41.86,90.0,6.04,18.43,462.65,0.3
Qua'an-Pan,Lowland,Irish-potato,68.09,37.03,90.0,5.86,18.82,399.81,0.96
Qua'an-Pan,Lowland,Irish-potato,78.71,30.0,123.19,4.37,22.31,527.49,1.88
Qua'an-Pan,Lowland,Irish-potato,140.55,73.04,198.32,4.89,23.97,300.0,1.2
Qua'an-Pan,Lowland,Irish-potato,150.0,75.0,181.83,3.94,18.04,487.76,0.89
Qua'an-Pan,Lowland,Irish-potato,60.0,37.81,110.87,4.17,17.42,433.27,0.88
Qua'an-Pan,Lowland,Irish-potato,129.74,57.23,146.11,5.99,18.39,300.0,1.11
Qua'an-Pan,Lowland,Irish-potato,150.0,63.66,170.89,4.04,21.29,455.31,1.15
Qua'an-Pan,Lowland,Irish-potato,72.41,30.0,103.13,4.4,16.27,532.13,1.69
Qua'an-Pan,Lowland,Irish-potato,109.92,70.95,210.18,4.81,18.29,359.94,1.27
Qua'an-Pan,Lowland,Irish-potato,150.0,66.18,132.64,4.41,7.89,545.43,0.4
Qua'an-Pan,Lowland,Irish-potato,115.51,46.82,151.49,5.34,17.79,300.0,0.96
Qua'an-Pan,Lowland,Irish-potato,150.0,67.34,190.18,5.29,23.52,300.0,1.75
Qua'an-Pan,Lowland,Irish-potato,122.6,75.0,161.22,5.11,17.61,300.0,1.62
Qua'an-Pan,Lowland,Irish-potato,114.97,49.58,225.0,4.78,14.92,589.69,1.88
Qua'an-Pan,Lowland,Irish-potato,123.14,43.93,90.0,4.03,18.71,495.43,1.05
Qua'an-Pan,Lowland,Irish-potato,141.51,30.0,187.51,4.06,24.56,360.41,1.3
Qua'an-Pan,Lowland,Irish-potato,101.71,69.55,109.77,4.46,21.01,312.96,1.22
Qua'an-Pan,Lowland,Irish-potato,106.72,30.0,164.09,6.3,16.08,437.01,0.36
Qua'an-Pan,Lowland,Irish-potato,86.76,52.62,134.3,4.5,17.29,300.0,1.05
Qua'an-Pan,Lowland,Irish-potato,119.77,31.79,196.26,6.08,17.19,342.91,0.97
Qua'an-Pan,Lowland,Irish-potato,60.0,43.05,100.95,4.79,11.99,750.0,0.25
Qua'an-Pan,Lowland,Irish-potato,121.26,75.0,195.72,4.44,20.0,539.94,0.43
Qua'an-Pan,Lowland,Irish-potato,124.33,56.15,217.35,5.57,11.23,691.44,0.32
Qua'an-Pan,Lowland,Irish-potato,150.0,63.13,203.57,4.72,19.69,406.24,1.07
Qua'an-Pan,Lowland,Irish-potato,147.58,75.0,106.47,6.44,10.74,418.01,0.22
Qua'an-Pan,Lowland,Irish-potato,92.87,53.82,146.16,5.14,19.16,501.42,1.03
Qua'an-Pan,Lowland,Irish-potato,150.0,60.71,180.13,4.33,14.65,465.86,0.84
Qua'an-Pan,Lowland,Irish-potato,127.54,58.81,122.19,4.22,18.28,300.0,1.42
Qua'an-Pan,Lowland,Irish-potato,117.91,39.23,166.88,4.46,14.73,496.29,1.52
Qua'an-Pan,Lowland,Irish-potato,99.75,47.05,129.53,4.92,18.66,400.53,1.28
Qua'an-Pan,Lowland,Irish-potato,60.0,61.15,90.0,4.99,15.5,300.0,1.41
Qua'an-Pan,Lowland,Irish-potato,91.47,49.73,163.67,3.9,19.66,509.49,1.32
Qua'an-Pan,Lowland,Irish-potato,143.1,73.48,180.51,5.01,21.39,300.0,1.48
Qua'an-Pan,Lowland,Irish-potato,135.81,75.0,185.77,5.37,22.93,313.7,0.99
Qua'an-Pan,Lowland,Tomato,134.75,94.39,132.5,7.05,24.65,428.49,0.67
Qua'an-Pan,Lowland,Tomato,133.68,71.37,207.89,6.9,19.17,363.7,1.17
Qua'an-Pan,Lowland,Tomato,152.0,98.97,217.15,6.59,23.16,482.83,0.68
Qua'an-Pan,Lowland,Tomato,167.06,57.36,128.33,5.03,27.27,450.21,1.85
Qua'an-Pan,Lowland,Tomato,119.59,87.0,230.25,4.89,29.98,658.99,0.54
Qua'an-Pan,Lowland,Tomato,187.5,106.08,171.63,6.99,26.48,417.07,1.12
Qua'an-Pan,Lowland,Tomato,142.18,110.65,132.23,5.38,31.25,300.0,2.49
Qua'an-Pan,Lowland,Tomato,151.21,95.06,272.26,6.04,22.37,552.72,0.94
Qua'an-Pan,Lowland,Tomato,164.52,96.67,226.58,7.79,23.08,300.0,0.38
Qua'an-Pan,Lowland,Tomato,138.43,48.75,187.88,4.41,22.72,545.95,1.55
Qua'an-Pan,Lowland,Tomato,112.43,48.75,120.0,3.75,20.11,629.42,0.85
Qua'an-Pan,Lowland,Tomato,75.0,70.35,176.48,5.86,31.25,472.51,1.64
Qua'an-Pan,Lowland,Tomato,147.33,135.05,172.7,5.15,29.0,576.13,1.18
Qua'an-Pan,Lowland,Tomato,159.43,137.49,300.0,5.8,21.13,408.13,0.81
Qua'an-Pan,Lowland,Tomato,177.74,93.02,262.04,5.72,28.6,346.12,1.68
Qua'an-Pan,Lowland,Tomato,125.44,93.18,235.7,4.57,30.08,307.54,2.5
Qua'an-Pan,Lowland,Tomato,141.99,98.89,210.02,5.94,22.99,317.22,1.43
Qua'an-Pan,Lowland,Tomato,89.19,88.51,255.46,5.22,19.97,332.7,1.74
Qua'an-Pan,Lowland,Tomato,187.5,120.91,154.58,6.5,24.04,467.85,0.38
Qua'an-Pan,Lowland,Tomato,120.28,89.37,257.12,4.43,28.26,426.92,2.5
Qua'an-Pan,Lowland,Tomato,112.29,94.82,145.2,5.88,19.04,390.69,0.71
Qua'an-Pan,Lowland,Tomato,146.76,67.8,265.0,8.16,17.36,381.47,0.58
Qua'an-Pan,Lowland,Tomato,134.83,108.74,246.02,7.46,25.04,326.66,1.11
Qua'an-Pan,Lowland,Tomato,124.64,92.62,231.58,5.75,21.64,394.78,0.93
Qua'an-Pan,Lowland,Tomato,108.4,50.28,194.1,5.38,27.49,405.76,1.41
Qua'an-Pan,Lowland,Tomato,187.5,119.97,300.0,6.13,29.6,300.0,1.58
Qua'an-Pan,Lowland,Tomato,153.51,97.15,270.91,6.63,27.62,398.73,1.69
Qua'an-Pan,Lowland,Tomato,121.82,62.44,192.1,8.75,20.29,326.95,0.38
Qua'an-Pan,Lowland,Tomato,144.14,110.04,208.66,6.28,23.3,468.74,1.41
Qua'an-Pan,Lowland,Tomato,124.24,91.37,197.32,5.56,26.02,427.4,1.26
Qua'an-Pan,Lowland,Tomato,123.4,91.0,120.0,6.38,20.12,422.56,0.38
Qua'an-Pan,Lowland,Tomato,175.67,115.16,300.0,6.75,18.57,300.0,1.23
Qua'an-Pan,Lowland,Tomato,187.5,105.34,293.96,4.36,28.36,509.4,2.01
Qua'an-Pan,Lowland,Tomato,184.85,125.38,161.61,6.82,23.94,349.96,0.71
Qua'an-Pan,Lowland,Tomato,148.69,108.52,237.55,5.7,21.25,501.67,1.43
Qua'an-Pan,Lowland,Tomato,128.65,92.34,238.85,5.7,23.65,341.37,1.29
Qua'an-Pan,Lowland,Tomato,151.81,51.71,134.58,6.48,27.07,493.59,0.38
Qua'an-Pan,Lowland,Tomato,128.09,73.94,164.7,3.75,27.14,570.34,2.25
Qua'an-Pan,Lowland,Tomato,145.9,91.14,171.45,5.93,27.58,408.99,2.34
Qua'an-Pan,Lowland,Tomato,88.31,78.04,131.5,5.63,23.95,547.17,1.32
Qua'an-Pan,Lowland,Tomato,124.24,93.35,164.51,8.75,31.16,300.0,1.5
Qua'an-Pan,Lowland,Tomato,136.2,92.79,280.23,6.47,17.69,414.79,0.38
Qua'an-Pan,Lowland,Tomato,99.05,56.14,254.76,6.01,25.97,370.64,2.49
Qua'an-Pan,Lowland,Tomato,155.86,48.75,219.0,5.58,23.1,531.38,1.12
Qua'an-Pan,Lowland,Tomato,128.32,95.16,220.88,6.5,24.45,423.47,0.65
Qua'an-Pan,Lowland,Tomato,142.35,137.5,205.43,4.79,19.6,415.45,0.5
Qua'an-Pan,Lowland,Tomato,116.38,90.88,246.46,4.7,29.16,361.17,2.5
Qua'an-Pan,Lowland,Tomato,96.96,70.0,176.93,6.94,21.56,542.95,0.52
Qua'an-Pan,Lowland,Tomato,173.08,105.17,220.82,4.97,25.89,374.74,1.49
